,Question ID,Participant ID,Description,Answer,Correct Answer,Question Type,Prompt Condition,Answer Index,Correct Answer Index
24,Q257,6081f2ada1056056b09872c1,"Data usage scenario: Our app accesses GPS location and sends it to another app directly on the device. The data never leaves the device.
(This is feasible because an app can use an Intent to perform some basic interactions with other apps, including sending data)
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Shared,1,2,,
25,Q257,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app accesses GPS location and sends it to another app directly on the device. The data never leaves the device.
(This is feasible because an app can use an Intent to perform some basic interactions with other apps, including sending data)
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Shared,1,2,,
26,Q257,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app accesses GPS location and sends it to another app directly on the device. The data never leaves the device.
(This is feasible because an app can use an Intent to perform some basic interactions with other apps, including sending data)
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Shared,1,3,,
27,Q257,60e89af0e29741df45bbef1f,"Data usage scenario: Our app accesses GPS location and sends it to another app directly on the device. The data never leaves the device.
(This is feasible because an app can use an Intent to perform some basic interactions with other apps, including sending data)
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Collected,Shared,1,1,0,1
28,Q257,5ea171c1a8782801263e7540,"Data usage scenario: Our app accesses GPS location and sends it to another app directly on the device. The data never leaves the device.
(This is feasible because an app can use an Intent to perform some basic interactions with other apps, including sending data)
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Shared,1,1,,
29,Q257,5ef48ebd234db60612e99516,"Data usage scenario: Our app accesses GPS location and sends it to another app directly on the device. The data never leaves the device.
(This is feasible because an app can use an Intent to perform some basic interactions with other apps, including sending data)
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Shared,1,3,,
30,Q258,6081f2ada1056056b09872c1,"Data usage scenario: Our app accesses GPS location and sends it to our server via libraries and/or SDKs included in our app.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
31,Q258,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app accesses GPS location and sends it to our server via libraries and/or SDKs included in our app.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
32,Q258,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app accesses GPS location and sends it to our server via libraries and/or SDKs included in our app.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
33,Q258,60e89af0e29741df45bbef1f,"Data usage scenario: Our app accesses GPS location and sends it to our server via libraries and/or SDKs included in our app.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Collected,Collected,1,1,0,0
34,Q258,5ea171c1a8782801263e7540,"Data usage scenario: Our app accesses GPS location and sends it to our server via libraries and/or SDKs included in our app.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,1,,
35,Q258,5ef48ebd234db60612e99516,"Data usage scenario: Our app accesses GPS location and sends it to our server via libraries and/or SDKs included in our app.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
36,Q259,6081f2ada1056056b09872c1,"Data usage scenario: Our app accesses GPS location and sends it directly to a third party server via libraries and/or SDKs included in our app.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,2,,
37,Q259,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app accesses GPS location and sends it directly to a third party server via libraries and/or SDKs included in our app.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,2,,
38,Q259,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app accesses GPS location and sends it directly to a third party server via libraries and/or SDKs included in our app.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,3,,
39,Q259,60e89af0e29741df45bbef1f,"Data usage scenario: Our app accesses GPS location and sends it directly to a third party server via libraries and/or SDKs included in our app.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,1,,
40,Q259,5ea171c1a8782801263e7540,"Data usage scenario: Our app accesses GPS location and sends it directly to a third party server via libraries and/or SDKs included in our app.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Collected,Both,1,1,0,2
41,Q259,5ef48ebd234db60612e99516,"Data usage scenario: Our app accesses GPS location and sends it directly to a third party server via libraries and/or SDKs included in our app.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,3,,
42,Q260,6081f2ada1056056b09872c1,"Data usage scenario: Our app encrypts the user’s message before it is sent to another user, where it is decrypted.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,2,,
43,Q260,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app encrypts the user’s message before it is sent to another user, where it is decrypted.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,2,,
44,Q260,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app encrypts the user’s message before it is sent to another user, where it is decrypted.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,3,,
45,Q260,60e89af0e29741df45bbef1f,"Data usage scenario: Our app encrypts the user’s message before it is sent to another user, where it is decrypted.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,1,,
46,Q260,5ea171c1a8782801263e7540,"Data usage scenario: Our app encrypts the user’s message before it is sent to another user, where it is decrypted.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Neither,Neither,1,1,3,3
47,Q260,5ef48ebd234db60612e99516,"Data usage scenario: Our app encrypts the user’s message before it is sent to another user, where it is decrypted.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,3,,
48,Q261,6081f2ada1056056b09872c1,"Data usage scenario: Our app directly opens our own website in a webview, our website then accesses the user's GPS location through the webview, and sends it to our server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
49,Q261,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app directly opens our own website in a webview, our website then accesses the user's GPS location through the webview, and sends it to our server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
50,Q261,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app directly opens our own website in a webview, our website then accesses the user's GPS location through the webview, and sends it to our server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
51,Q261,60e89af0e29741df45bbef1f,"Data usage scenario: Our app directly opens our own website in a webview, our website then accesses the user's GPS location through the webview, and sends it to our server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Collected,Collected,1,1,0,0
52,Q261,5ea171c1a8782801263e7540,"Data usage scenario: Our app directly opens our own website in a webview, our website then accesses the user's GPS location through the webview, and sends it to our server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Collected,1,1,2,0
53,Q261,5ef48ebd234db60612e99516,"Data usage scenario: Our app directly opens our own website in a webview, our website then accesses the user's GPS location through the webview, and sends it to our server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
54,Q262,6081f2ada1056056b09872c1,"Data usage scenario: Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to Google's server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,2,,
55,Q262,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to Google's server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,2,,
56,Q262,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to Google's server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,3,,
57,Q262,60e89af0e29741df45bbef1f,"Data usage scenario: Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to Google's server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Collected,Neither,1,1,0,3
58,Q262,5ea171c1a8782801263e7540,"Data usage scenario: Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to Google's server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Neither,1,1,2,3
59,Q262,5ef48ebd234db60612e99516,"Data usage scenario: Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to Google's server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,3,,
60,Q265,6081f2ada1056056b09872c1,"Data usage scenario: Our app directly opens our own website in a webview, our website accesses the GPS location through the webview, and sends it to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,2,,
61,Q265,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app directly opens our own website in a webview, our website accesses the GPS location through the webview, and sends it to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,2,,
62,Q265,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app directly opens our own website in a webview, our website accesses the GPS location through the webview, and sends it to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,3,,
63,Q265,60e89af0e29741df45bbef1f,"Data usage scenario: Our app directly opens our own website in a webview, our website accesses the GPS location through the webview, and sends it to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Both,1,1,2,2
64,Q265,5ea171c1a8782801263e7540,"Data usage scenario: Our app directly opens our own website in a webview, our website accesses the GPS location through the webview, and sends it to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Both,1,1,2,2
65,Q265,5ef48ebd234db60612e99516,"Data usage scenario: Our app directly opens our own website in a webview, our website accesses the GPS location through the webview, and sends it to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,3,,
66,Q266,6081f2ada1056056b09872c1,"Data usage scenario: Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,2,,
67,Q266,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,2,,
68,Q266,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,3,,
69,Q266,60e89af0e29741df45bbef1f,"Data usage scenario: Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,1,,
70,Q266,5ea171c1a8782801263e7540,"Data usage scenario: Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Neither,1,1,2,3
71,Q266,5ef48ebd234db60612e99516,"Data usage scenario: Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,3,,
72,Q267,6081f2ada1056056b09872c1,"Data usage scenario: Our app's user explicitly initiates an action that sends their full name to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
73,Q267,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app's user explicitly initiates an action that sends their full name to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
74,Q267,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app's user explicitly initiates an action that sends their full name to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
75,Q267,60e89af0e29741df45bbef1f,"Data usage scenario: Our app's user explicitly initiates an action that sends their full name to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Collected,1,1,2,0
76,Q267,5ea171c1a8782801263e7540,"Data usage scenario: Our app's user explicitly initiates an action that sends their full name to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,1,,
77,Q267,5ef48ebd234db60612e99516,"Data usage scenario: Our app's user explicitly initiates an action that sends their full name to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
78,QID273,6081f2ada1056056b09872c1,"Data usage scenario: Our app's user explicitly initiates an action that sends their full name to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
79,QID273,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app's user explicitly initiates an action that sends their full name to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
80,QID273,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app's user explicitly initiates an action that sends their full name to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
81,QID273,60e89af0e29741df45bbef1f,"Data usage scenario: Our app's user explicitly initiates an action that sends their full name to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,1,,
82,QID273,5ea171c1a8782801263e7540,"Data usage scenario: Our app's user explicitly initiates an action that sends their full name to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,1,,
83,QID273,5ef48ebd234db60612e99516,"Data usage scenario: Our app's user explicitly initiates an action that sends their full name to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
84,Q269,6081f2ada1056056b09872c1,"Data usage scenario: Our app sends the user's full name to a third party server after obtaining the user's consent to it.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
85,Q269,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app sends the user's full name to a third party server after obtaining the user's consent to it.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
86,Q269,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app sends the user's full name to a third party server after obtaining the user's consent to it.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
87,Q269,60e89af0e29741df45bbef1f,"Data usage scenario: Our app sends the user's full name to a third party server after obtaining the user's consent to it.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,1,,
88,Q269,5ea171c1a8782801263e7540,"Data usage scenario: Our app sends the user's full name to a third party server after obtaining the user's consent to it.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,1,,
89,Q269,5ef48ebd234db60612e99516,"Data usage scenario: Our app sends the user's full name to a third party server after obtaining the user's consent to it.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
90,Q270,6081f2ada1056056b09872c1,"Data usage scenario: Our app sends the user's medical records that have been fully anonymized to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
91,Q270,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app sends the user's medical records that have been fully anonymized to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
92,Q270,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app sends the user's medical records that have been fully anonymized to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
93,Q270,60e89af0e29741df45bbef1f,"Data usage scenario: Our app sends the user's medical records that have been fully anonymized to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Collected,1,1,2,0
94,Q270,5ea171c1a8782801263e7540,"Data usage scenario: Our app sends the user's medical records that have been fully anonymized to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,1,,
95,Q270,5ef48ebd234db60612e99516,"Data usage scenario: Our app sends the user's medical records that have been fully anonymized to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
96,Q271,6081f2ada1056056b09872c1,"Data usage scenario: Our app accesses and processes the user's GPS location directly on the user’s device. The data never leaves the device.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,2,,
97,Q271,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app accesses and processes the user's GPS location directly on the user’s device. The data never leaves the device.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,2,,
98,Q271,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app accesses and processes the user's GPS location directly on the user’s device. The data never leaves the device.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,3,,
99,Q271,60e89af0e29741df45bbef1f,"Data usage scenario: Our app accesses and processes the user's GPS location directly on the user’s device. The data never leaves the device.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,1,,
100,Q271,5ea171c1a8782801263e7540,"Data usage scenario: Our app accesses and processes the user's GPS location directly on the user’s device. The data never leaves the device.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,1,,
101,Q271,5ef48ebd234db60612e99516,"Data usage scenario: Our app accesses and processes the user's GPS location directly on the user’s device. The data never leaves the device.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Neither,1,3,,
102,Q272,6081f2ada1056056b09872c1,"Data usage scenario: Our app sends the user's GPS location to our server to search for nearby places but does not store the GPS location after serving the request.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
103,Q272,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app sends the user's GPS location to our server to search for nearby places but does not store the GPS location after serving the request.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
104,Q272,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app sends the user's GPS location to our server to search for nearby places but does not store the GPS location after serving the request.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
105,Q272,60e89af0e29741df45bbef1f,"Data usage scenario: Our app sends the user's GPS location to our server to search for nearby places but does not store the GPS location after serving the request.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,1,,
106,Q272,5ea171c1a8782801263e7540,"Data usage scenario: Our app sends the user's GPS location to our server to search for nearby places but does not store the GPS location after serving the request.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Neither,Collected,1,1,3,0
107,Q272,5ef48ebd234db60612e99516,"Data usage scenario: Our app sends the user's GPS location to our server to search for nearby places but does not store the GPS location after serving the request.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
108,Q273,6081f2ada1056056b09872c1,"Data usage scenario: Our app requests for the user's full name and only sends the pseudonymized name to our server. (A pseudonymized name does not allow the individual to be directly identified, but it can be re-associated with the user if additional information is provided)

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
109,Q273,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app requests for the user's full name and only sends the pseudonymized name to our server. (A pseudonymized name does not allow the individual to be directly identified, but it can be re-associated with the user if additional information is provided)

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
110,Q273,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app requests for the user's full name and only sends the pseudonymized name to our server. (A pseudonymized name does not allow the individual to be directly identified, but it can be re-associated with the user if additional information is provided)

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
111,Q273,60e89af0e29741df45bbef1f,"Data usage scenario: Our app requests for the user's full name and only sends the pseudonymized name to our server. (A pseudonymized name does not allow the individual to be directly identified, but it can be re-associated with the user if additional information is provided)

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Collected,Collected,1,1,0,0
112,Q273,5ea171c1a8782801263e7540,"Data usage scenario: Our app requests for the user's full name and only sends the pseudonymized name to our server. (A pseudonymized name does not allow the individual to be directly identified, but it can be re-associated with the user if additional information is provided)

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Collected,Collected,1,1,0,0
